y_over_L,u_over_Uref,y_m,u_ms
0.0,0.0,0.0,0.0
0.00390625,0,0.00390625,0
0.0117188,-0.168708,0.0117188,-0.168708
0.0195312,-0.291851,0.0195312,-0.291851
0.0273438,-0.373396,0.0273438,-0.373396
0.0351562,-0.431764,0.0351562,-0.431764
0.0429688,-0.476555,0.0429688,-0.476555
0.0507812,-0.508805,0.0507812,-0.508805
0.0585938,-0.527362,0.0585938,-0.527362
0.0664062,-0.532294,0.0664062,-0.532294
0.0742188,-0.525711,0.0742188,-0.525711
0.0820312,-0.511202,0.0820312,-0.511202
0.0898438,-0.492651,0.0898438,-0.492651
0.0976562,-0.473143,0.0976562,-0.473143
0.105469,-0.454508,0.105469,-0.454508
0.113281,-0.437488,0.113281,-0.437488
0.121094,-0.422143,0.121094,-0.422143
0.128906,-0.408206,0.128906,-0.408206
0.136719,-0.395311,0.136719,-0.395311
0.144531,-0.383116,0.144531,-0.383116
0.152344,-0.371364,0.152344,-0.371364
0.160156,-0.35989,0.160156,-0.35989
0.167969,-0.348605,0.167969,-0.348605
0.175781,-0.337475,0.175781,-0.337475
0.183594,-0.326492,0.183594,-0.326492
0.191406,-0.315663,0.191406,-0.315663
0.199219,-0.304998,0.199219,-0.304998
0.207031,-0.294503,0.207031,-0.294503
0.214844,-0.284183,0.214844,-0.284183
0.222656,-0.274038,0.222656,-0.274038
0.230469,-0.264064,0.230469,-0.264064
0.238281,-0.25426,0.238281,-0.25426
0.246094,-0.244622,0.246094,-0.244622
0.253906,-0.235148,0.253906,-0.235148
0.261719,-0.225839,0.261719,-0.225839
0.269531,-0.216695,0.269531,-0.216695
0.277344,-0.207721,0.277344,-0.207721
0.285156,-0.19892,0.285156,-0.19892
0.292969,-0.1903,0.292969,-0.1903
0.300781,-0.181866,0.300781,-0.181866
0.308594,-0.173624,0.308594,-0.173624
0.316406,-0.16558,0.316406,-0.16558
0.324219,-0.15774,0.324219,-0.15774
0.332031,-0.150106,0.332031,-0.150106
0.339844,-0.142681,0.339844,-0.142681
0.347656,-0.135465,0.347656,-0.135465
0.355469,-0.128455,0.355469,-0.128455
0.363281,-0.121648,0.363281,-0.121648
0.371094,-0.115039,0.371094,-0.115039
0.378906,-0.108618,0.378906,-0.108618
0.386719,-0.102378,0.386719,-0.102378
0.394531,-0.0963071,0.394531,-0.0963071
0.402344,-0.0903939,0.402344,-0.0903939
0.410156,-0.0846256,0.410156,-0.0846256
0.417969,-0.0789892,0.417969,-0.0789892
0.425781,-0.0734708,0.425781,-0.0734708
0.433594,-0.0680567,0.433594,-0.0680567
0.441406,-0.062733,0.441406,-0.062733
0.449219,-0.0574862,0.449219,-0.0574862
0.457031,-0.0523028,0.457031,-0.0523028
0.464844,-0.0471698,0.464844,-0.0471698
0.472656,-0.0420743,0.472656,-0.0420743
0.480469,-0.0370042,0.480469,-0.0370042
0.488281,-0.0319473,0.488281,-0.0319473
0.496094,-0.0268919,0.496094,-0.0268919
0.503906,-0.0218267,0.503906,-0.0218267
0.511719,-0.0167405,0.511719,-0.0167405
0.519531,-0.0116223,0.519531,-0.0116223
0.527344,-0.0064612,0.527344,-0.0064612
0.535156,-0.00124653,0.535156,-0.00124653
0.542969,0.00403234,0.542969,0.00403234
0.550781,0.00938595,0.550781,0.00938595
0.558594,0.0148247,0.558594,0.0148247
0.566406,0.020359,0.566406,0.020359
0.574219,0.025999,0.574219,0.025999
0.582031,0.0317544,0.582031,0.0317544
0.589844,0.0376349,0.589844,0.0376349
0.597656,0.0436497,0.597656,0.0436497
0.605469,0.0498075,0.605469,0.0498075
0.613281,0.0561163,0.613281,0.0561163
0.621094,0.0625836,0.621094,0.0625836
0.628906,0.0692163,0.628906,0.0692163
0.636719,0.0760204,0.636719,0.0760204
0.644531,0.0830014,0.644531,0.0830014
0.652344,0.0901642,0.652344,0.0901642
0.660156,0.0975132,0.660156,0.0975132
0.667969,0.105052,0.667969,0.105052
0.675781,0.112785,0.675781,0.112785
0.683594,0.120715,0.683594,0.120715
0.691406,0.128847,0.691406,0.128847
0.699219,0.137183,0.699219,0.137183
0.707031,0.145728,0.707031,0.145728
0.714844,0.154484,0.714844,0.154484
0.722656,0.163457,0.722656,0.163457
0.730469,0.172648,0.730469,0.172648
0.738281,0.18206,0.738281,0.18206
0.746094,0.191695,0.746094,0.191695
0.753906,0.201552,0.753906,0.201552
0.761719,0.21163,0.761719,0.21163
0.769531,0.221925,0.769531,0.221925
0.777344,0.23243,0.777344,0.23243
0.785156,0.243139,0.785156,0.243139
0.792969,0.254042,0.792969,0.254042
0.800781,0.26513,0.800781,0.26513
0.808594,0.276397,0.808594,0.276397
0.816406,0.287841,0.816406,0.287841
0.824219,0.299471,0.824219,0.299471
0.832031,0.311308,0.832031,0.311308
0.839844,0.323393,0.839844,0.323393
0.847656,0.335789,0.847656,0.335789
0.855469,0.348584,0.855469,0.348584
0.863281,0.361889,0.863281,0.361889
0.871094,0.375829,0.871094,0.375829
0.878906,0.390525,0.878906,0.390525
0.886719,0.406066,0.886719,0.406066
0.894531,0.422476,0.894531,0.422476
0.902344,0.43967,0.902344,0.43967
0.910156,0.457418,0.910156,0.457418
0.917969,0.47531,0.917969,0.47531
0.925781,0.49274,0.925781,0.49274
0.933594,0.508906,0.933594,0.508906
0.941406,0.522835,0.941406,0.522835
0.949219,0.533489,0.949219,0.533489
0.957031,0.540353,0.957031,0.540353
0.964844,0.546287,0.964844,0.546287
0.972656,0.565992,0.972656,0.565992
0.980469,0.634182,0.980469,0.634182
0.988281,0.786172,0.988281,0.786172
0.996094,1,0.996094,1
1.0,1.0,1,1
