x_over_L,v_over_Uref,x_m,v_ms
0.0,0.0,0.0,0.0
0.00390625,0,0.00390625,0
0.0117188,0.155751,0.0117188,0.155751
0.0195312,0.265541,0.0195312,0.265541
0.0273438,0.337434,0.0273438,0.337434
0.0351562,0.388799,0.0351562,0.388799
0.0429688,0.430503,0.0429688,0.430503
0.0507812,0.46558,0.0507812,0.46558
0.0585938,0.493293,0.0585938,0.493293
0.0664062,0.512168,0.0664062,0.512168
0.0742188,0.521515,0.0742188,0.521515
0.0820312,0.521961,0.0820312,0.521961
0.0898438,0.515191,0.0898438,0.515191
0.0976562,0.503299,0.0976562,0.503299
0.105469,0.48824,0.105469,0.48824
0.113281,0.471573,0.113281,0.471573
0.121094,0.454404,0.121094,0.454404
0.128906,0.437418,0.128906,0.437418
0.136719,0.420951,0.136719,0.420951
0.144531,0.405101,0.144531,0.405101
0.152344,0.389838,0.152344,0.389838
0.160156,0.375075,0.160156,0.375075
0.167969,0.36073,0.167969,0.36073
0.175781,0.346737,0.175781,0.346737
0.183594,0.333065,0.183594,0.333065
0.191406,0.319707,0.191406,0.319707
0.199219,0.306677,0.199219,0.306677
0.207031,0.294004,0.207031,0.294004
0.214844,0.281721,0.214844,0.281721
0.222656,0.269861,0.222656,0.269861
0.230469,0.258454,0.230469,0.258454
0.238281,0.24752,0.238281,0.24752
0.246094,0.237071,0.246094,0.237071
0.253906,0.227105,0.253906,0.227105
0.261719,0.21761,0.261719,0.21761
0.269531,0.208566,0.269531,0.208566
0.277344,0.199943,0.277344,0.199943
0.285156,0.191705,0.285156,0.191705
0.292969,0.183816,0.292969,0.183816
0.300781,0.176238,0.300781,0.176238
0.308594,0.168934,0.308594,0.168934
0.316406,0.161872,0.316406,0.161872
0.324219,0.15502,0.324219,0.15502
0.332031,0.148355,0.332031,0.148355
0.339844,0.141853,0.339844,0.141853
0.347656,0.135497,0.347656,0.135497
0.355469,0.129271,0.355469,0.129271
0.363281,0.123162,0.363281,0.123162
0.371094,0.117158,0.371094,0.117158
0.378906,0.111248,0.378906,0.111248
0.386719,0.105424,0.386719,0.105424
0.394531,0.0996755,0.394531,0.0996755
0.402344,0.0939942,0.402344,0.0939942
0.410156,0.0883708,0.410156,0.0883708
0.417969,0.0827964,0.417969,0.0827964
0.425781,0.0772615,0.425781,0.0772615
0.433594,0.0717567,0.433594,0.0717567
0.441406,0.0662721,0.441406,0.0662721
0.449219,0.0607978,0.449219,0.0607978
0.457031,0.0553233,0.457031,0.0553233
0.464844,0.0498381,0.464844,0.0498381
0.472656,0.0443316,0.472656,0.0443316
0.480469,0.0387927,0.480469,0.0387927
0.488281,0.0332105,0.488281,0.0332105
0.496094,0.0275739,0.496094,0.0275739
0.503906,0.0218719,0.503906,0.0218719
0.511719,0.0160935,0.511719,0.0160935
0.519531,0.0102279,0.519531,0.0102279
0.527344,0.00426485,0.527344,0.00426485
0.535156,-0.00180591,0.535156,-0.00180591
0.542969,-0.00799394,0.542969,-0.00799394
0.550781,-0.0143083,0.550781,-0.0143083
0.558594,-0.0207573,0.558594,-0.0207573
0.566406,-0.0273486,0.566406,-0.0273486
0.574219,-0.034089,0.574219,-0.034089
0.582031,-0.0409846,0.582031,-0.0409846
0.589844,-0.0480405,0.589844,-0.0480405
0.597656,-0.0552609,0.597656,-0.0552609
0.605469,-0.0626491,0.605469,-0.0626491
0.613281,-0.0702073,0.613281,-0.0702073
0.621094,-0.0779372,0.621094,-0.0779372
0.628906,-0.0858391,0.628906,-0.0858391
0.636719,-0.0939127,0.636719,-0.0939127
0.644531,-0.102157,0.644531,-0.102157
0.652344,-0.110569,0.652344,-0.110569
0.660156,-0.119148,0.660156,-0.119148
0.667969,-0.127891,0.667969,-0.127891
0.675781,-0.136794,0.675781,-0.136794
0.683594,-0.145855,0.683594,-0.145855
0.691406,-0.155072,0.691406,-0.155072
0.699219,-0.164445,0.699219,-0.164445
0.707031,-0.173974,0.707031,-0.173974
0.714844,-0.183659,0.714844,-0.183659
0.722656,-0.193504,0.722656,-0.193504
0.730469,-0.203512,0.730469,-0.203512
0.738281,-0.21369,0.738281,-0.21369
0.746094,-0.224041,0.746094,-0.224041
0.753906,-0.234574,0.753906,-0.234574
0.761719,-0.245293,0.761719,-0.245293
0.769531,-0.256205,0.769531,-0.256205
0.777344,-0.267317,0.777344,-0.267317
0.785156,-0.278633,0.785156,-0.278633
0.792969,-0.29016,0.792969,-0.29016
0.800781,-0.301903,0.800781,-0.301903
0.808594,-0.313869,0.808594,-0.313869
0.816406,-0.326065,0.816406,-0.326065
0.824219,-0.338495,0.824219,-0.338495
0.832031,-0.351164,0.832031,-0.351164
0.839844,-0.36407,0.839844,-0.36407
0.847656,-0.377201,0.847656,-0.377201
0.855469,-0.39053,0.855469,-0.39053
0.863281,-0.404005,0.863281,-0.404005
0.871094,-0.417553,0.871094,-0.417553
0.878906,-0.431083,0.878906,-0.431083
0.886719,-0.444524,0.886719,-0.444524
0.894531,-0.45791,0.894531,-0.45791
0.902344,-0.471549,0.902344,-0.471549
0.910156,-0.486284,0.910156,-0.486284
0.917969,-0.503788,0.917969,-0.503788
0.925781,-0.526636,0.925781,-0.526636
0.933594,-0.557618,0.933594,-0.557618
0.941406,-0.597567,0.941406,-0.597567
0.949219,-0.641434,0.949219,-0.641434
0.957031,-0.673598,0.957031,-0.673598
0.964844,-0.665337,0.964844,-0.665337
0.972656,-0.580275,0.972656,-0.580275
0.980469,-0.398418,0.980469,-0.398418
0.988281,-0.1664,0.988281,-0.1664
0.996094,0,0.996094,0
1.0,0.0,1,0.0
